1	1.00000	1
2	1.00000	1
3	1.00000	1
4	1.00000	1
5	1.00000	1
6	1.00000	1
7	1.00000	1
9	1.00000	1
10	1.00000	0
11	0.00000	1
12	1.00000	1
13	1.00000	1
14	1.00000	1
15	0.00000	1
16	0.00000	0
17	0.00000	0
18	0.00000	1
19	0.00000	0
20	0.00000	1
22	0.00000	0
23	1.00000	1
24	0.00000	0
25	0.00000	0
26	0.00000	0
27	0.00000	1
28	0.00000	1
29	0.00000	0
30	0.00000	0
31	0.00000	0
33	0.00000	0
34	0.00000	0
35	0.00000	0
36	0.00000	0
37	0.00000	0
38	0.00000	1
39	0.00000	0
41	0.00000	1
42	0.00000	1
43	0.00000	0
44	0.00000	0
45	0.00000	1
47	0.00000	0
48	0.00000	0
51	0.00000	0
52	0.00000	1
53	0.00000	0
54	0.00000	0
55	0.00000	0
56	0.00000	0
57	0.00000	0
67	0.00134	1
70	0.00134	1
76	0.00000	0
78	0.00000	0
79	0.00134	0
104	0.00000	0
207	0.00000	1
226	0.00000	0
240	0.00000	1
374	0.00043	1
