1	1.00000	1
2	1.00000	1
3	1.00000	1
4	1.00000	1
5	1.00000	1
6	1.00000	1
7	0.00000	1
8	0.00004	0
9	0.00004	1
10	1.00000	0
12	0.00000	1
13	0.00004	1
16	1.00000	0
17	0.00000	0
19	1.00000	0
20	0.00000	1
24	0.00000	0
27	1.00000	1
29	0.00000	0
30	0.00000	0
31	0.00000	1
32	0.00004	0
33	0.00000	1
36	0.00004	0
39	1.00000	0
40	0.00000	1
42	0.00004	1
43	0.00000	0
50	0.00004	0
53	0.00004	0
54	0.00004	1
55	0.00004	0
56	0.00000	0
61	0.00004	0
62	0.00000	0
64	0.00004	1
65	0.00004	0
68	0.00004	0
70	0.00004	1
71	0.00004	0
72	0.00000	1
73	0.00004	0
75	0.00004	1
76	0.00000	0
77	0.00004	0
81	0.00000	0
82	0.00000	0
83	0.00004	1
84	0.00004	1
86	0.00000	0
87	0.00004	0
92	0.00004	1
94	0.00004	1
96	0.00004	1
97	0.00000	0
98	0.00004	1
99	0.00000	0
100	0.00004	0
104	0.00004	0
105	0.00004	0
106	0.00004	0
107	0.00004	1
110	0.00004	1
111	0.00004	1
118	0.00004	1
123	0.00004	1
131	0.00004	0
132	0.00004	1
138	0.00004	0
139	0.00004	0
144	0.00002	1
146	0.00002	0
147	0.00004	1
165	0.00000	0
169	0.00004	0
172	0.00004	0
175	0.00004	0
182	0.00004	0
183	0.00004	0
187	0.00004	0
191	0.00004	1
194	0.00004	0
197	0.00000	0
198	0.00004	0
199	0.00004	0
200	0.00004	1
206	0.00004	1
213	0.00004	0
215	0.00000	0
216	0.00004	1
217	0.00004	0
220	0.00004	1
223	0.00004	0
224	0.00004	1
233	0.00004	1
234	0.00004	0
235	0.00004	1
237	0.00004	0
252	0.00004	0
