Source_ID	Assertion_ID	timestamp
2557953782	4	Wed Mar 30 06:54:11 2016
217299191	4	Wed Mar 30 06:56:40 2016
222695753	4	Wed Mar 30 06:56:42 2016
292374563	4	Wed Mar 30 06:56:43 2016
393887252	4	Wed Mar 30 06:56:43 2016
381114870	4	Wed Mar 30 06:56:44 2016
2873704083	4	Wed Mar 30 07:02:50 2016
3288958030	4	Wed Mar 30 07:10:33 2016
267415368	5	Wed Mar 30 06:21:30 2016
2833928509	5	Wed Mar 30 06:22:00 2016
700979098122854400	5	Wed Mar 30 06:22:34 2016
4620116112	5	Wed Mar 30 06:29:02 2016
1035416820	5	Wed Mar 30 06:30:42 2016
1471924788	5	Wed Mar 30 06:31:14 2016
2221186338	5	Wed Mar 30 06:36:46 2016
403988635	5	Wed Mar 30 06:38:23 2016
2149577214	5	Wed Mar 30 06:42:24 2016
4760162841	5	Wed Mar 30 06:44:59 2016
1197134478	5	Wed Mar 30 06:49:03 2016
138766048	5	Wed Mar 30 06:50:08 2016
3192285103	5	Wed Mar 30 06:53:35 2016
2425418960	5	Wed Mar 30 06:56:11 2016
3466264037	5	Wed Mar 30 07:05:50 2016
494323225	5	Wed Mar 30 07:07:54 2016
399463138	5	Wed Mar 30 07:09:24 2016
3166011497	5	Wed Mar 30 07:11:34 2016
3318261018	5	Wed Mar 30 07:14:04 2016
1023725058	5	Wed Mar 30 07:15:10 2016
104478559	5	Wed Mar 30 07:16:29 2016
234734739	5	Wed Mar 30 07:18:43 2016
2985986460	6	Wed Mar 30 07:12:00 2016
2986049155	6	Wed Mar 30 07:12:01 2016
2986027658	6	Wed Mar 30 07:12:03 2016
3314124473	6	Wed Mar 30 07:12:32 2016
3314129333	6	Wed Mar 30 07:12:33 2016
3314185858	6	Wed Mar 30 07:12:34 2016
3314137703	6	Wed Mar 30 07:12:34 2016
3314140667	6	Wed Mar 30 07:12:34 2016
3314145815	6	Wed Mar 30 07:12:35 2016
3314104329	6	Wed Mar 30 07:12:35 2016
3314107383	6	Wed Mar 30 07:12:36 2016
3314208106	6	Wed Mar 30 07:12:36 2016
3314161517	6	Wed Mar 30 07:12:37 2016
3314216956	6	Wed Mar 30 07:12:37 2016
4894134319	6	Wed Mar 30 07:13:00 2016
4897610774	6	Wed Mar 30 07:13:01 2016
4897536618	6	Wed Mar 30 07:13:02 2016
4879334085	6	Wed Mar 30 07:13:04 2016
4898460038	6	Wed Mar 30 07:13:05 2016
4898469380	6	Wed Mar 30 07:13:06 2016
698214741991231488	6	Wed Mar 30 07:13:07 2016
3249903512	7	Wed Mar 30 06:59:16 2016
272152883	7	Wed Mar 30 06:59:17 2016
4811669582	7	Wed Mar 30 06:59:42 2016
2941201179	7	Wed Mar 30 07:00:14 2016
2697913410	7	Wed Mar 30 07:00:18 2016
4039465158	7	Wed Mar 30 07:00:19 2016
3330139138	7	Wed Mar 30 07:01:48 2016
437389860	7	Wed Mar 30 07:02:17 2016
97820008	7	Wed Mar 30 07:02:20 2016
3312170302	7	Wed Mar 30 07:02:51 2016
3307958646	7	Wed Mar 30 07:02:52 2016
3241139372	7	Wed Mar 30 07:03:23 2016
1590106934	7	Wed Mar 30 07:03:49 2016
42114398	7	Wed Mar 30 07:03:49 2016
856297044	7	Wed Mar 30 07:05:20 2016
3288615504	7	Wed Mar 30 07:07:54 2016
4659994596	7	Wed Mar 30 07:08:28 2016
1120725625	7	Wed Mar 30 07:08:54 2016
1330724683	8	Wed Mar 30 06:18:22 2016
318095665	8	Wed Mar 30 06:18:51 2016
724383247	8	Wed Mar 30 06:25:01 2016
2801206721	8	Wed Mar 30 06:27:09 2016
549762509	8	Wed Mar 30 06:31:43 2016
1514828287	8	Wed Mar 30 06:34:43 2016
2990315358	8	Wed Mar 30 06:35:18 2016
360603111	8	Wed Mar 30 06:35:46 2016
2371128320	8	Wed Mar 30 06:36:17 2016
2974221710	8	Wed Mar 30 06:48:01 2016
221676419	8	Wed Mar 30 06:55:41 2016
3190493276	8	Wed Mar 30 06:58:44 2016
252813381	8	Wed Mar 30 07:03:12 2016
4870883415	8	Wed Mar 30 07:08:57 2016
715072471838302208	8	Wed Mar 30 07:14:08 2016
6480652	9	Wed Mar 30 06:20:23 2016
2551790066	9	Wed Mar 30 06:20:58 2016
1566037904	9	Wed Mar 30 06:21:01 2016
148944986	9	Wed Mar 30 06:22:58 2016
19549779	9	Wed Mar 30 06:24:04 2016
338146400	9	Wed Mar 30 06:25:34 2016
1273576430	9	Wed Mar 30 06:26:04 2016
20560080	9	Wed Mar 30 06:27:03 2016
14195935	9	Wed Mar 30 06:28:06 2016
55007334	9	Wed Mar 30 06:29:03 2016
160387229	9	Wed Mar 30 06:31:15 2016
17973247	9	Wed Mar 30 06:31:41 2016
143684459	9	Wed Mar 30 06:40:23 2016
3158253653	10	Wed Mar 30 06:20:01 2016
2492078965	10	Wed Mar 30 06:25:04 2016
3325085920	10	Wed Mar 30 06:32:08 2016
4403147063	10	Wed Mar 30 06:33:46 2016
2597422417	10	Wed Mar 30 06:35:47 2016
2351705342	10	Wed Mar 30 06:40:50 2016
2554061912	10	Wed Mar 30 06:42:53 2016
3360127473	10	Wed Mar 30 06:52:38 2016
2397921956	10	Wed Mar 30 06:58:38 2016
2468422909	10	Wed Mar 30 07:06:27 2016
3438928367	10	Wed Mar 30 07:11:03 2016
3260643511	10	Wed Mar 30 07:12:34 2016
2353662925	10	Wed Mar 30 07:15:10 2016
2858271148	11	Wed Mar 30 06:32:12 2016
124462493	11	Wed Mar 30 06:34:44 2016
909448512	11	Wed Mar 30 06:38:13 2016
287505023	11	Wed Mar 30 06:45:29 2016
1894464324	11	Wed Mar 30 06:45:58 2016
273287404	11	Wed Mar 30 07:07:29 2016
3888783973	11	Wed Mar 30 07:08:54 2016
24369345	11	Wed Mar 30 07:09:57 2016
3621289632	11	Wed Mar 30 07:10:26 2016
2889372518	11	Wed Mar 30 07:11:34 2016
4883801255	11	Wed Mar 30 07:12:00 2016
4301068456	11	Wed Mar 30 07:15:41 2016
235298285	12	Wed Mar 30 06:27:37 2016
583703650	12	Wed Mar 30 06:27:37 2016
315180025	12	Wed Mar 30 06:27:40 2016
294658646	12	Wed Mar 30 06:28:34 2016
2522617476	12	Wed Mar 30 06:29:34 2016
3344789180	12	Wed Mar 30 06:30:14 2016
242674159	12	Wed Mar 30 06:31:16 2016
4057396214	12	Wed Mar 30 06:35:18 2016
1550439127	12	Wed Mar 30 06:41:53 2016
2192887524	12	Wed Mar 30 06:48:06 2016
275125422	12	Wed Mar 30 06:50:59 2016
988156549	12	Wed Mar 30 07:04:52 2016
19622426	13	Wed Mar 30 06:21:25 2016
1059046530	13	Wed Mar 30 06:28:06 2016
290914008	13	Wed Mar 30 06:29:35 2016
2202099932	13	Wed Mar 30 06:31:11 2016
31044691	13	Wed Mar 30 06:33:47 2016
36947306	13	Wed Mar 30 06:36:14 2016
2305649864	13	Wed Mar 30 06:40:21 2016
1607662159	13	Wed Mar 30 06:53:02 2016
130852929	13	Wed Mar 30 06:55:14 2016
3170243834	13	Wed Mar 30 06:59:09 2016
961789700	13	Wed Mar 30 07:07:00 2016
2340924678	14	Wed Mar 30 06:42:30 2016
390254782	14	Wed Mar 30 06:57:41 2016
153673461	14	Wed Mar 30 06:57:41 2016
1417139450	14	Wed Mar 30 06:57:42 2016
931106406	14	Wed Mar 30 06:57:43 2016
625548925	14	Wed Mar 30 06:57:43 2016
733264453	14	Wed Mar 30 06:57:44 2016
160749656	14	Wed Mar 30 06:57:44 2016
1647975912	14	Wed Mar 30 06:57:44 2016
1648122620	14	Wed Mar 30 06:57:45 2016
390917354	14	Wed Mar 30 06:57:47 2016
2364356252	15	Wed Mar 30 06:45:27 2016
154091497	15	Wed Mar 30 06:46:57 2016
1243424216	15	Wed Mar 30 06:46:59 2016
2296549249	15	Wed Mar 30 06:48:34 2016
1568324906	15	Wed Mar 30 06:49:06 2016
4649251995	15	Wed Mar 30 06:51:38 2016
3310157201	15	Wed Mar 30 06:52:35 2016
703799314699538432	15	Wed Mar 30 06:54:11 2016
3304200548	15	Wed Mar 30 06:58:33 2016
357448093	15	Wed Mar 30 07:01:13 2016
42628772	15	Wed Mar 30 07:03:12 2016
4852650819	16	Wed Mar 30 06:19:20 2016
1248437623	16	Wed Mar 30 06:26:30 2016
805905864	16	Wed Mar 30 06:27:42 2016
2430626287	16	Wed Mar 30 06:32:43 2016
1051455504	16	Wed Mar 30 06:37:13 2016
461466376	16	Wed Mar 30 06:39:20 2016
3384930639	16	Wed Mar 30 06:41:23 2016
54086042	16	Wed Mar 30 06:46:33 2016
23897285	16	Wed Mar 30 06:54:11 2016
2186623778	16	Wed Mar 30 06:58:05 2016
4856166765	16	Wed Mar 30 07:04:51 2016
952856515	17	Wed Mar 30 06:19:23 2016
36007881	17	Wed Mar 30 06:36:45 2016
982953108	17	Wed Mar 30 06:36:49 2016
181223863	17	Wed Mar 30 06:42:54 2016
296679922	17	Wed Mar 30 06:47:03 2016
296679922	17	Wed Mar 30 06:59:42 2016
296679922	17	Wed Mar 30 06:59:43 2016
100536836	17	Wed Mar 30 07:01:50 2016
110107100	17	Wed Mar 30 07:06:57 2016
3856816573	17	Wed Mar 30 07:08:31 2016
65830821	17	Wed Mar 30 07:16:06 2016
2838537811	18	Wed Mar 30 06:39:52 2016
461473046	18	Wed Mar 30 06:42:25 2016
2249736800	18	Wed Mar 30 06:48:30 2016
3882124167	18	Wed Mar 30 06:52:29 2016
1101599156	18	Wed Mar 30 06:53:09 2016
3251185816	18	Wed Mar 30 06:53:42 2016
1407915890	18	Wed Mar 30 07:09:01 2016
2573949937	18	Wed Mar 30 07:09:28 2016
452005478	18	Wed Mar 30 07:14:07 2016
52472909	18	Wed Mar 30 07:15:11 2016
6	19	Wed Mar 30 06:43:32 2016
4894737613	19	Wed Mar 30 06:18:57 2016
261914849	19	Wed Mar 30 06:27:08 2016
713981192	19	Wed Mar 30 06:28:38 2016
166757459	19	Wed Mar 30 06:31:39 2016
45728920	19	Wed Mar 30 06:37:47 2016
714654485763588096	19	Wed Mar 30 06:38:45 2016
160941883	19	Wed Mar 30 06:43:32 2016
2451103345	19	Wed Mar 30 06:50:35 2016
278989867	19	Wed Mar 30 07:00:50 2016
277823157	20	Wed Mar 30 06:28:03 2016
18680121	20	Wed Mar 30 06:30:09 2016
81416468	20	Wed Mar 30 06:32:41 2016
129460773	20	Wed Mar 30 06:34:06 2016
2801721303	20	Wed Mar 30 06:40:21 2016
1066197050	20	Wed Mar 30 06:46:32 2016
499837671	20	Wed Mar 30 06:48:35 2016
4010713033	20	Wed Mar 30 07:01:17 2016
2847710550	20	Wed Mar 30 07:17:12 2016
2580423060	21	Wed Mar 30 06:21:29 2016
4876609759	21	Wed Mar 30 06:26:06 2016
364183980	21	Wed Mar 30 06:26:09 2016
1727627353	21	Wed Mar 30 06:26:09 2016
1301230057	21	Wed Mar 30 06:27:38 2016
705433322051100672	21	Wed Mar 30 06:36:21 2016
705458241707245568	21	Wed Mar 30 06:37:48 2016
705485788687892480	21	Wed Mar 30 06:37:53 2016
705458581278097408	21	Wed Mar 30 06:37:54 2016
114435376	22	Wed Mar 30 06:21:28 2016
3285761599	22	Wed Mar 30 06:22:30 2016
784941084	22	Wed Mar 30 06:27:07 2016
72304963	22	Wed Mar 30 06:28:03 2016
1920760099	22	Wed Mar 30 06:29:39 2016
58429390	22	Wed Mar 30 06:38:54 2016
929765126	22	Wed Mar 30 06:39:48 2016
2408617921	22	Wed Mar 30 06:44:23 2016
4871223795	22	Wed Mar 30 06:50:09 2016
528734238	23	Wed Mar 30 06:20:26 2016
4115311814	23	Wed Mar 30 06:26:07 2016
18697736	23	Wed Mar 30 06:29:35 2016
